archipelago;January;February;March;April;May;June;July;August;September;October;November;December
1;open;open;open;open;open;open;open;open;open;open;open;open
2;open;open;open;open;open;open;open;open;open;open;open;open
3;open;open;open;open;open;open;open;open;open;open;open;open
4;open;open;open;open;open;open;open;open;open;open;open;open
5;open;open;open;open;open;open;open;open;open;open;open;open
6;open;open;open;open;open;open;open;open;open;open;open;open
7;open;open;open;open;open;open;open;open;open;open;open;open
8;open;open;open;open;open;open;open;open;open;open;open;open
9;open;open;open;open;open;open;open;open;open;open;open;open
10;open;open;open;open;open;open;open;open;open;open;open;open
coastal;January;February;March;April;May;June;July;August;September;October;November;December
1;open;open;open;open;open;open;open;open;open;open;open;open
2;open;open;open;open;open;open;open;open;open;open;open;open
3;open;open;open;open;open;open;open;open;open;open;open;open
4;open;open;open;open;open;open;open;open;open;open;open;open
5;open;open;open;open;open;open;open;open;open;open;open;open
6;open;open;open;open;open;open;open;open;open;open;open;open
7;open;open;open;open;open;open;open;open;open;open;open;open
8;open;open;open;open;open;open;open;open;open;open;open;open
9;open;open;open;open;open;open;open;open;open;open;open;open
10;open;open;open;open;open;open;open;open;open;open;open;open
trawler;January;February;March;April;May;June;July;August;September;October;November;December
1;open;open;open;open;open;open;open;open;open;open;open;open
2;open;open;open;open;open;open;open;open;open;open;open;open
3;open;open;open;open;open;open;open;open;open;open;open;open
4;open;open;open;open;open;open;open;open;open;open;open;open
5;open;open;open;open;open;open;open;open;open;open;open;open
6;open;open;open;open;open;open;open;open;open;open;open;open
7;open;open;open;open;open;open;open;open;open;open;open;open
8;open;open;open;open;open;open;open;open;open;open;open;open
9;open;open;open;open;open;open;open;open;open;open;open;open
10;open;open;open;open;open;open;open;open;open;open;open;open
