01/01/2010;0.5
02/01/2010;1
03/01/2010;1.5
04/01/2010;2
05/01/2010;2.5
06/01/2010;1.9
07/01/2010;1.7
08/01/2010;1.5
09/01/2010;1.3
10/01/2010;1
11/01/2010;0.5
12/01/2010;1
13/01/2010;1.5
14/01/2010;2
15/01/2010;2.5
16/01/2010;1.9
17/01/2010;1.7
18/01/2010;1.5
19/01/2010;1.3
20/01/2010;1
21/01/2010;0.5
22/01/2010;1
23/01/2010;1.5
24/01/2010;2
25/01/2010;2.5
26/01/2010;1.9
27/01/2010;1.7
28/01/2010;1.5
29/01/2010;1.3
30/01/2010;1
31/01/2010;0.5
01/02/2010;1
02/02/2010;1.5
03/02/2010;2
04/02/2010;2.5
05/02/2010;1.9
06/02/2010;1.7
07/02/2010;1.5
08/02/2010;1.3
09/02/2010;1
10/02/2010;0.5
11/02/2010;1
12/02/2010;1.5
13/02/2010;2
14/02/2010;2.5
15/02/2010;1.9
16/02/2010;1.7
17/02/2010;1.5
18/02/2010;1.3
19/02/2010;1
20/02/2010;0.5
21/02/2010;1
22/02/2010;1.5
23/02/2010;2
24/02/2010;2.5
25/02/2010;1.9
26/02/2010;1.7
27/02/2010;1.5
28/02/2010;1.3
01/03/2010;1
02/03/2010;0.5
03/03/2010;1
04/03/2010;1.5
05/03/2010;2
06/03/2010;2.5
07/03/2010;1.9
08/03/2010;1.7
09/03/2010;1.5
10/03/2010;1.3
11/03/2010;1
12/03/2010;0.5
13/03/2010;1
14/03/2010;1.5
15/03/2010;2
16/03/2010;2.5
17/03/2010;1.9
18/03/2010;1.7
19/03/2010;1.5
20/03/2010;1.3
21/03/2010;1
22/03/2010;0.5
23/03/2010;1
24/03/2010;1.5
25/03/2010;2
26/03/2010;2.5
27/03/2010;1.9
28/03/2010;1.7
29/03/2010;1.5
30/03/2010;1.3
31/03/2010;1
01/04/2010;0.5
02/04/2010;1
03/04/2010;1.5
04/04/2010;2
05/04/2010;2.5
06/04/2010;1.9
07/04/2010;1.7
08/04/2010;1.5
09/04/2010;1.3
10/04/2010;1
11/04/2010;0.5
12/04/2010;1
13/04/2010;1.5
14/04/2010;2
15/04/2010;2.5
16/04/2010;1.9
17/04/2010;1.7
18/04/2010;1.5
19/04/2010;1.3
20/04/2010;1
